"train/global_step","qwen3.5-2B-bitext-lora - train/loss","qwen3.5-2B-bitext-lora - train/loss__MIN","qwen3.5-2B-bitext-lora - train/loss__MAX","qwen3.5-2B-bitext-lora - _step","qwen3.5-2B-bitext-lora - _step__MIN","qwen3.5-2B-bitext-lora - _step__MAX"
"1","1.6192883253097534","1.6192883253097534","1.6192883253097534","0","0","0"
"2","1.3855209350585938","1.3855209350585938","1.3855209350585938","1","1","1"
"3","1.469423770904541","1.469423770904541","1.469423770904541","2","2","2"
"4","1.6881937980651855","1.6881937980651855","1.6881937980651855","3","3","3"
"5","1.3909070491790771","1.3909070491790771","1.3909070491790771","4","4","4"
"6","1.332300066947937","1.332300066947937","1.332300066947937","5","5","5"
"7","1.3961215019226074","1.3961215019226074","1.3961215019226074","6","6","6"
"8","1.2872557640075684","1.2872557640075684","1.2872557640075684","7","7","7"
"9","1.4210896492004395","1.4210896492004395","1.4210896492004395","8","8","8"
"10","1.1644107103347778","1.1644107103347778","1.1644107103347778","9","9","9"
"11","1.3585615158081055","1.3585615158081055","1.3585615158081055","10","10","10"
"12","1.1322861909866333","1.1322861909866333","1.1322861909866333","11","11","11"
"13","1.288522720336914","1.288522720336914","1.288522720336914","12","12","12"
"14","1.243932843208313","1.243932843208313","1.243932843208313","13","13","13"
"15","1.3653020858764648","1.3653020858764648","1.3653020858764648","14","14","14"
"16","1.0759363174438477","1.0759363174438477","1.0759363174438477","15","15","15"
"17","1.2293932437896729","1.2293932437896729","1.2293932437896729","16","16","16"
"18","1.2297990322113037","1.2297990322113037","1.2297990322113037","17","17","17"
"19","1.0985602140426636","1.0985602140426636","1.0985602140426636","18","18","18"
"20","1.048431158065796","1.048431158065796","1.048431158065796","19","19","19"
"21","0.9974352121353149","0.9974352121353149","0.9974352121353149","20","20","20"
"22","1.1245120763778687","1.1245120763778687","1.1245120763778687","21","21","21"
"23","1.08806312084198","1.08806312084198","1.08806312084198","22","22","22"
"24","0.9888160824775696","0.9888160824775696","0.9888160824775696","23","23","23"
"25","1.0038032531738281","1.0038032531738281","1.0038032531738281","24","24","24"
"26","1.0733094215393066","1.0733094215393066","1.0733094215393066","25","25","25"
"27","0.9890583157539368","0.9890583157539368","0.9890583157539368","26","26","26"
"28","0.9831176400184631","0.9831176400184631","0.9831176400184631","27","27","27"
"29","0.9934527277946472","0.9934527277946472","0.9934527277946472","28","28","28"
"30","1.1024445295333862","1.1024445295333862","1.1024445295333862","29","29","29"
"31","1.064620852470398","1.064620852470398","1.064620852470398","30","30","30"
"32","0.9790587425231934","0.9790587425231934","0.9790587425231934","31","31","31"
"33","1.13164222240448","1.13164222240448","1.13164222240448","32","32","32"
"34","0.8305383920669556","0.8305383920669556","0.8305383920669556","33","33","33"
"35","0.9560092687606812","0.9560092687606812","0.9560092687606812","34","34","34"
"36","0.9902021288871765","0.9902021288871765","0.9902021288871765","35","35","35"
"37","0.96280437707901","0.96280437707901","0.96280437707901","36","36","36"
"38","1.0870203971862793","1.0870203971862793","1.0870203971862793","37","37","37"
"39","0.951747477054596","0.951747477054596","0.951747477054596","38","38","38"
"40","0.8950612545013428","0.8950612545013428","0.8950612545013428","39","39","39"
"41","0.9881024360656738","0.9881024360656738","0.9881024360656738","40","40","40"
"42","0.9412374496459961","0.9412374496459961","0.9412374496459961","41","41","41"
"43","1.0452842712402344","1.0452842712402344","1.0452842712402344","42","42","42"
"44","1.0335021018981934","1.0335021018981934","1.0335021018981934","43","43","43"
"45","0.9227433204650879","0.9227433204650879","0.9227433204650879","44","44","44"
"46","0.8808597922325134","0.8808597922325134","0.8808597922325134","45","45","45"
"47","1.0805387496948242","1.0805387496948242","1.0805387496948242","46","46","46"
"48","0.8669371604919434","0.8669371604919434","0.8669371604919434","47","47","47"
"49","0.9537696242332458","0.9537696242332458","0.9537696242332458","48","48","48"
"50","0.9657279253005981","0.9657279253005981","0.9657279253005981","49","49","49"
"51","0.8845306634902954","0.8845306634902954","0.8845306634902954","50","50","50"
"52","0.9532029628753662","0.9532029628753662","0.9532029628753662","51","51","51"
"53","0.8797569870948792","0.8797569870948792","0.8797569870948792","52","52","52"
"54","0.8744550943374634","0.8744550943374634","0.8744550943374634","53","53","53"
"55","1.050288200378418","1.050288200378418","1.050288200378418","54","54","54"
"56","0.9137687683105469","0.9137687683105469","0.9137687683105469","55","55","55"
"57","0.8404334783554077","0.8404334783554077","0.8404334783554077","56","56","56"
"58","0.951597273349762","0.951597273349762","0.951597273349762","57","57","57"
"59","0.9160330891609192","0.9160330891609192","0.9160330891609192","58","58","58"
"60","0.9523059725761414","0.9523059725761414","0.9523059725761414","59","59","59"
